mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__learning_rate	param_estimator__loss	param_estimator__penalty	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.17703564961751303	0.005932331085205078	0.4464696021034205	1e-06	True	optimal	huber	none	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	1399	0.4298093231483342	0.47371353477321687	0.43588594838871064	0.002867574015204534	3.140616188063643e-05	0.019423443636754884
0.1889339288075765	0.006396373112996419	0.45718004053206934	1e-06	True	optimal	huber	none	3111696	9	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	1297	0.4411198554012514	0.492283463448864	0.4381368027460927	0.002449896513681463	0.00026973430449298024	0.024851725307543118
0.19186854362487793	0.006664196650187175	0.44494041921690475	1e-06	True	optimal	huber	none	3111696	10	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	1406	0.4542580119042038	0.48394501075110896	0.3966182349954015	0.0021120941191482678	0.0004183814412017363	0.03625469708499126
0.1274284521738688	0.004624287287394206	-4.881212217486143e+22	1e-06	True	optimal	squared_loss	l1	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	3733	-1.4347241082291864e+23	-1.8874950066032086e+21	-1.0764606950624475e+21	0.0028679856660942466	0.00020299064174062164	6.693575093258587e+22
0.16163126627604166	0.004998604456583659	-1.500890976130323e+23	1e-06	True	optimal	squared_loss	l1	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	3785	-2.1327230209334525e+23	-7.786637965051096e+22	-1.5912861109524065e+23	0.017097558872353837	0.0002485077564582601	5.564755496961799e+22
0.18105387687683105	0.005416075388590495	-1.476447468723487e+23	1e-06	True	optimal	squared_loss	l1	3111696	3	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	3784	-2.1274719309445235e+23	-8.820778702306372e+22	-1.4197926049953001e+23	0.00044884195642241697	1.7623991390326793e-05	5.100058312107162e+22
0.20070783297220865	0.005647023518880208	-7.59759820473863e+22	1e-06	True	optimal	squared_loss	l1	3111696	4	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	3748	-1.6564586678337577e+23	-3.066027551991486e+22	-3.1621803838868273e+22	0.0008551366266712976	0.00010827114770552876	6.340739865137331e+22
0.20100871721903482	0.0054322083791097	-1.8930825251286336e+23	1e-06	True	optimal	squared_loss	l1	3111696	5	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	3804	-6.2240832674908416e+22	-1.5931971277783124e+23	-3.4636421208585044e+23	0.0018396369769998519	2.1782233615856192e-05	1.1791524659277734e+23
0.21059107780456543	0.005623658498128255	-4.737950659763387e+22	1e-06	True	optimal	squared_loss	l1	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	3732	-3.987056448248562e+22	-5.230677894922769e+22	-4.99611763611883e+22	6.868800230796962e-05	2.9846053357727106e-05	5.395283226531584e+21
0.2193144957224528	0.005840778350830078	-2.8945222834052786e+23	1e-06	True	optimal	squared_loss	l1	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	3822	-5.189030426827806e+23	-2.476887480839706e+23	-1.0176489425483241e+23	0.0007485142926768036	7.534127697494342e-05	1.7283749579846983e+23
